Ticket_ID,llm_score
TKT-108426,0
TKT-104337,2
TKT-108117,0
TKT-107763,0
TKT-114012,1
TKT-113651,0
TKT-100438,3
TKT-116533,0
TKT-103269,0
TKT-103752,0
TKT-109113,0
TKT-109440,0
TKT-101739,0
TKT-100606,0
TKT-117085,2
TKT-112998,2
TKT-116972,3
TKT-118366,0
TKT-115683,0
TKT-111037,2
TKT-105746,0
TKT-111584,1
TKT-106270,0
TKT-108851,2
TKT-118408,0
TKT-106600,2
TKT-111378,0
TKT-117189,0
TKT-111605,0
TKT-106909,2
TKT-100738,0
TKT-101994,0
TKT-100119,0
TKT-114926,2
TKT-117609,0
TKT-117436,0
TKT-118553,2
TKT-107293,2
TKT-103405,2
TKT-110537,3
TKT-118466,0
TKT-108626,3
TKT-103481,0
TKT-117818,2
TKT-100127,2
TKT-113426,2
TKT-110610,2
TKT-115273,0
TKT-119580,0
TKT-119285,0
TKT-112822,2
TKT-103073,0
TKT-102380,0
TKT-102483,0
TKT-103461,3
TKT-115231,0
TKT-107458,0
TKT-115884,1
TKT-106885,2
TKT-115097,2
TKT-118684,1
TKT-114970,0
TKT-100803,0
TKT-100474,0
TKT-108608,3
TKT-106482,0
TKT-118287,2
TKT-105557,0
TKT-113948,2
TKT-108891,2
TKT-112521,0
TKT-104448,0
TKT-100484,0
TKT-110422,2
TKT-119411,1
TKT-114900,3
TKT-111226,3
TKT-119132,2
TKT-107920,0
TKT-107911,0
TKT-102766,0
TKT-114865,0
TKT-116506,2
TKT-111688,0
TKT-104037,2
TKT-100856,0
TKT-116136,0
TKT-108830,0
TKT-108803,2
TKT-111838,0
TKT-103826,0
TKT-118127,0
TKT-105995,0
TKT-100503,2
TKT-102959,2
TKT-107988,2
TKT-109640,0
TKT-108109,3
TKT-105382,0
TKT-113951,0
TKT-113138,0
TKT-117987,0
TKT-113435,0
TKT-107725,0
TKT-112033,0
TKT-108129,0
TKT-112787,0
TKT-108292,0
TKT-118321,1
TKT-113060,2
TKT-103295,0
TKT-108957,2
TKT-100115,0
TKT-105647,1
TKT-112624,2
TKT-114747,0
TKT-107181,0
TKT-101710,0
TKT-115957,0
TKT-105817,0
TKT-115278,0
TKT-102480,0
TKT-110250,1
TKT-104032,0
TKT-113347,0
TKT-116530,0
TKT-109514,3
TKT-104610,0
TKT-105117,0
TKT-116946,0
TKT-106385,0
TKT-115139,0
TKT-106271,0
TKT-100341,0
TKT-100828,2
TKT-112529,2
TKT-111551,2
TKT-109527,2
TKT-111836,2
TKT-100313,2
TKT-111697,0
TKT-110051,0
TKT-112863,2
TKT-116070,0
TKT-117136,0
TKT-118261,0
TKT-104909,0
TKT-117796,0
TKT-108873,2
TKT-118285,0
TKT-100409,2
TKT-103795,2
TKT-102703,0
TKT-110342,0
TKT-104981,2
TKT-108582,0
TKT-107667,3
TKT-117517,3
TKT-117183,0
TKT-109725,0
TKT-118153,2
TKT-107499,0
TKT-117036,2
TKT-107720,0
TKT-101905,0
TKT-106717,2
TKT-102174,0
TKT-106769,2
TKT-107161,2
TKT-106504,0
TKT-118765,2
TKT-104420,2
TKT-101272,0
TKT-100451,2
TKT-103519,0
TKT-117477,0
TKT-109567,2
TKT-100247,2
TKT-117815,1
TKT-101747,0
TKT-102085,0
TKT-112492,0
TKT-113351,2
TKT-104974,0
TKT-103498,0
TKT-113442,2
TKT-101084,3
TKT-104935,0
TKT-106237,2
TKT-106734,0
TKT-112983,2
TKT-114249,0
TKT-111982,0
TKT-105922,1
TKT-117268,2
TKT-108948,0
TKT-119450,2
TKT-104149,0
TKT-105099,2
TKT-109512,1
TKT-113259,2
TKT-117360,0
TKT-117037,0
TKT-103335,2
TKT-117585,0
TKT-119819,2
TKT-113728,2
TKT-109893,0
TKT-107650,0
TKT-102238,0
TKT-114204,0
TKT-100251,3
TKT-108196,2
TKT-104706,0
TKT-108143,0
TKT-102714,0
TKT-118079,0
TKT-109529,2
TKT-110341,0
TKT-115290,0
TKT-100326,3
TKT-104980,0
TKT-107438,0
TKT-106647,0
TKT-106258,1
TKT-109047,2
TKT-103393,0
TKT-117664,0
TKT-119414,2
TKT-116117,0
TKT-101337,0
TKT-103168,2
TKT-112860,0
TKT-119814,2
TKT-102393,1
TKT-119915,0
TKT-115179,0
TKT-105923,2
TKT-116297,0
TKT-102743,0
TKT-105005,0
TKT-118716,3
TKT-119613,1
TKT-111643,0
TKT-104119,0
TKT-102090,0
TKT-107443,0
TKT-108731,2
TKT-114404,0
TKT-105702,2
TKT-103800,0
TKT-111419,3
TKT-102008,0
TKT-101493,3
TKT-109282,0
TKT-107789,2
TKT-103848,0
TKT-115650,3
TKT-119143,0
TKT-118551,1
TKT-119249,0
TKT-104194,0
TKT-101512,2
TKT-102748,0
TKT-118211,0
TKT-103733,0
TKT-107654,0
TKT-102346,0
TKT-102519,0
TKT-100718,0
TKT-100139,0
TKT-117947,0
TKT-117762,2
TKT-102444,0
TKT-105198,0
TKT-101402,0
TKT-116321,0
TKT-101730,2
TKT-109260,0
TKT-103721,0
TKT-117840,0
TKT-119736,0
TKT-108121,1
TKT-109531,0
TKT-117730,0
TKT-118906,0
TKT-114283,2
TKT-104074,2
TKT-109049,0
TKT-106438,0
TKT-102267,2
TKT-102830,2
TKT-110495,1
TKT-114177,2
TKT-112291,2
TKT-108366,0
TKT-116894,0
TKT-108466,0
TKT-102932,2
TKT-113784,0
TKT-116075,0
TKT-112950,2
TKT-102946,0
TKT-117514,0
TKT-111292,3
TKT-119606,0
TKT-109390,2
TKT-109293,0
TKT-117747,2
TKT-106162,1
TKT-109758,1
TKT-108544,0
TKT-102579,0
TKT-104387,1
TKT-111225,0
TKT-118149,0
TKT-104832,1
TKT-109391,0
TKT-106705,0
TKT-116192,3
TKT-102626,0
TKT-109098,1
TKT-110872,0
TKT-106888,3
TKT-119364,0
TKT-105687,2
TKT-104949,2
TKT-114306,0
TKT-111330,2
TKT-119490,1
TKT-101805,2
TKT-113811,2
TKT-111997,2
TKT-116480,0
TKT-108508,0
TKT-119715,0
TKT-108575,3
TKT-104877,0
TKT-110879,0
TKT-101147,0
TKT-106076,0
TKT-106309,2
TKT-106210,2
TKT-116879,0
TKT-105714,0
TKT-115992,0
TKT-115143,2
TKT-113302,0
TKT-100424,0
TKT-107360,0
TKT-119416,0
TKT-107241,2
TKT-115703,2
TKT-109995,0
TKT-115486,2
TKT-102177,1
TKT-107051,0
TKT-106405,1
TKT-105351,0
TKT-112906,0
TKT-101606,0
TKT-103062,2
TKT-117402,2
TKT-103488,0
TKT-104201,0
TKT-118505,1
TKT-117687,3
TKT-116598,0
TKT-102805,0
TKT-112349,0
TKT-118689,2
TKT-106248,0
TKT-109704,0
TKT-106914,0
TKT-114037,0
TKT-104031,0
TKT-104449,0
TKT-111262,0
TKT-118576,2
TKT-103528,0
TKT-118787,0
TKT-115569,0
TKT-117682,0
TKT-102319,0
TKT-112783,2
TKT-108099,2
TKT-103509,2
TKT-111340,2
TKT-108165,0
TKT-105394,2
TKT-108025,2
TKT-104393,0
TKT-104590,2
TKT-116144,0
TKT-101052,0
TKT-110330,0
TKT-116861,0
TKT-102578,3
TKT-110504,0
TKT-119882,0
TKT-108352,0
TKT-117458,0
TKT-119375,0
TKT-104724,0
TKT-118918,1
TKT-102232,0
TKT-102777,0
TKT-115131,0
TKT-101290,3
TKT-114761,2
TKT-102207,0
TKT-103449,0
TKT-115249,0
TKT-109509,0
TKT-103035,0
TKT-116262,0
TKT-116817,0
TKT-115337,0
TKT-110182,0
TKT-102998,2
TKT-106759,2
TKT-102265,0
TKT-107337,1
TKT-110676,3
TKT-104505,3
TKT-118426,0
TKT-119201,0
TKT-106692,0
TKT-114801,0
TKT-114030,2
TKT-103106,0
TKT-100221,1
TKT-118356,2
TKT-111825,0
TKT-103050,0
TKT-104285,0
TKT-117541,0
TKT-112246,0
TKT-100210,0
TKT-118238,0
TKT-101911,0
TKT-100499,0
TKT-104999,0
TKT-117917,0
TKT-117266,0
TKT-108748,0
TKT-113683,0
TKT-100180,0
TKT-118926,2
TKT-113684,2
TKT-112000,0
TKT-118842,2
TKT-111794,0
TKT-107267,0
TKT-102420,0
TKT-115825,2
TKT-118202,0
TKT-115634,1
TKT-114888,0
TKT-100466,0
TKT-115057,0
TKT-100059,0
TKT-104202,0
TKT-118076,0
TKT-107484,0
TKT-101580,3
TKT-107284,0
TKT-119827,2
TKT-116233,0
TKT-109393,0
TKT-102698,1
TKT-104564,0
TKT-111403,0
TKT-104199,2
TKT-119838,1
TKT-114902,0
TKT-107157,0
TKT-102973,2
TKT-107841,0
TKT-114766,3
TKT-113634,0
TKT-107695,0
TKT-105934,0
TKT-113875,0
TKT-117225,2
TKT-105215,3
TKT-111432,0
TKT-111165,0
TKT-111365,2
TKT-106626,0
TKT-103595,3
TKT-113085,0
TKT-105272,2
TKT-105627,0
TKT-112010,0
TKT-114841,0
TKT-110072,0
TKT-114751,0
TKT-107324,3
TKT-108632,0
TKT-114108,0
TKT-101297,0
TKT-110366,0
TKT-113248,1
TKT-100200,0
TKT-101456,0
TKT-110559,3
TKT-109800,0
TKT-108453,0
TKT-109651,0
TKT-108892,1
TKT-118544,0
TKT-110263,0
TKT-101202,2
TKT-115967,0
TKT-103643,0
TKT-110990,1
TKT-110723,0
TKT-110356,2
TKT-103128,2
TKT-104351,0
TKT-119402,0
TKT-115878,0
TKT-103011,2
TKT-105090,0
TKT-117107,2
TKT-102621,0
TKT-101534,0
TKT-118178,2
TKT-103836,2
TKT-117766,0
TKT-111520,0
TKT-116080,0
TKT-115859,0
TKT-108550,0
TKT-115662,0
TKT-105129,0
TKT-114008,0
TKT-103352,0
TKT-113454,0
TKT-113758,3
TKT-104903,0
TKT-102930,0
TKT-101087,0
TKT-115244,0
TKT-112088,0
TKT-104884,2
TKT-114633,0
TKT-107947,2
TKT-116823,2
TKT-115819,2
TKT-105391,0
TKT-107245,0
TKT-115682,0
TKT-106279,1
TKT-105194,0
TKT-114222,0
TKT-117121,0
TKT-119672,1
TKT-117185,0
TKT-101729,0
TKT-119914,0
TKT-119841,0
TKT-113336,0
TKT-103310,0
TKT-112571,0
TKT-103415,0
TKT-105861,0
TKT-115237,0
TKT-106259,2
TKT-109619,0
TKT-105863,0
TKT-109806,0
TKT-105849,0
TKT-102754,1
TKT-113643,2
TKT-110192,0
TKT-108035,0
TKT-116836,0
TKT-115027,0
TKT-110761,2
TKT-107375,3
TKT-110709,0
TKT-105998,0
TKT-112264,0
TKT-119733,0
TKT-119732,0
TKT-101282,2
TKT-105290,0
TKT-110784,0
TKT-111067,0
TKT-119688,0
TKT-104021,0
TKT-116141,0
TKT-106826,2
TKT-118361,0
TKT-112084,0
TKT-111051,2
TKT-108331,1
TKT-110078,0
TKT-108993,0
TKT-109818,0
TKT-116874,0
TKT-110646,0
TKT-113993,2
TKT-119989,1
TKT-109710,2
TKT-106896,0
TKT-115370,0
TKT-111679,0
TKT-108962,1
TKT-105474,2
TKT-106402,2
TKT-103725,0
TKT-103739,0
TKT-110221,0
TKT-113084,1
TKT-108732,0
TKT-112491,0
TKT-106775,0
TKT-119980,0
TKT-104291,0
TKT-103579,1
TKT-112568,0
TKT-100928,0
TKT-106529,0
TKT-103844,0
TKT-118143,2
TKT-110867,2
TKT-117779,2
TKT-117400,0
TKT-106148,3
TKT-108319,0
TKT-101815,0
TKT-106072,2
TKT-109300,0
TKT-111847,0
TKT-119587,0
TKT-109457,2
TKT-105833,0
TKT-119264,1
TKT-115021,2
TKT-114377,2
TKT-108882,0
TKT-114304,0
TKT-110489,0
TKT-111885,0
TKT-114218,2
TKT-105903,0
TKT-107664,0
TKT-114009,0
TKT-102129,0
TKT-119862,0
TKT-107779,0
TKT-102740,1
TKT-117470,2
TKT-108813,0
TKT-115172,3
TKT-110779,2
TKT-101350,2
TKT-109058,0
TKT-113495,0
TKT-109922,0
TKT-101522,0
TKT-106760,1
TKT-118862,0
TKT-102797,2
TKT-107040,2
TKT-102992,2
TKT-113751,2
TKT-115059,0
TKT-115066,0
TKT-109755,0
TKT-109152,0
TKT-107457,2
TKT-107683,2
TKT-117821,2
TKT-110261,0
TKT-112964,0
TKT-100088,0
TKT-110399,2
TKT-108972,0
TKT-116702,0
TKT-113250,1
TKT-111162,0
TKT-118190,0
TKT-108513,2
TKT-101443,2
TKT-109010,2
TKT-117557,0
TKT-113249,0
TKT-117831,0
TKT-111081,0
TKT-117948,0
TKT-102301,2
TKT-116292,0
TKT-118254,1
TKT-102361,0
TKT-105071,0
TKT-119638,0
TKT-112402,2
TKT-113826,2
TKT-109264,2
TKT-110675,2
TKT-109059,0
TKT-115527,2
TKT-114251,0
TKT-115831,0
TKT-119557,0
TKT-112842,0
TKT-108020,0
TKT-108303,0
TKT-106186,0
TKT-119336,0
TKT-115409,0
TKT-105023,3
TKT-109790,3
TKT-107839,2
TKT-104391,0
TKT-111233,0
TKT-114539,0
TKT-104639,0
TKT-111482,0
TKT-112953,0
TKT-119974,1
TKT-103274,0
TKT-114734,0
TKT-109992,0
TKT-106740,0
TKT-100257,0
TKT-112974,2
TKT-114687,0
TKT-118643,0
TKT-119551,2
TKT-108066,2
TKT-113103,2
TKT-101768,0
TKT-117089,0
TKT-105059,2
TKT-107092,0
TKT-114602,0
TKT-110311,0
TKT-108801,2
TKT-110577,0
TKT-119482,0
TKT-100346,0
TKT-105148,1
TKT-118008,0
TKT-105020,0
TKT-104344,0
TKT-112864,0
TKT-106301,0
TKT-102981,2
TKT-102414,0
TKT-115597,2
TKT-108797,0
TKT-117550,3
TKT-109411,0
TKT-106075,0
TKT-103529,0
TKT-116522,0
TKT-118439,0
TKT-112579,0
TKT-110290,0
TKT-116751,0
TKT-102065,0
TKT-101704,0
TKT-108141,0
TKT-102084,0
TKT-118811,0
TKT-100103,0
TKT-117529,2
TKT-105380,0
TKT-114206,1
TKT-101788,1
TKT-118169,2
TKT-115401,0
TKT-104618,1
TKT-112584,1
TKT-117496,0
TKT-104189,1
TKT-103999,2
TKT-112364,2
TKT-116094,0
TKT-108323,2
TKT-111732,0
TKT-103922,1
TKT-111227,0
TKT-112532,0
TKT-112086,3
TKT-103698,0
TKT-105277,0
TKT-111798,0
TKT-100057,3
TKT-117724,0
TKT-119121,0
TKT-105513,0
TKT-101489,0
TKT-111625,2
TKT-109437,0
TKT-119883,3
TKT-102467,0
TKT-109742,3
TKT-107053,1
TKT-102026,2
TKT-102812,0
TKT-110249,0
TKT-114992,0
TKT-109016,0
TKT-112384,3
TKT-108854,0
TKT-114648,0
TKT-116526,0
TKT-111566,0
TKT-116206,0
TKT-117833,2
TKT-100379,2
TKT-116772,0
TKT-101527,2
TKT-107898,0
TKT-106561,0
TKT-102388,2
TKT-109881,0
TKT-106690,0
TKT-106920,3
TKT-119086,1
TKT-115576,0
TKT-115467,0
TKT-110884,2
TKT-117809,0
TKT-108056,0
TKT-115684,2
TKT-112792,2
TKT-109289,3
TKT-106593,2
TKT-104783,0
TKT-103425,0
TKT-100911,0
TKT-119506,3
TKT-116324,0
TKT-114844,0
TKT-111658,0
TKT-115655,2
TKT-104984,0
TKT-103769,0
TKT-106088,3
TKT-101981,0
TKT-106557,0
TKT-116404,0
TKT-105761,0
TKT-114722,0
TKT-105834,0
TKT-107353,2
TKT-107782,0
TKT-103784,0
TKT-118626,0
TKT-114326,3
TKT-101535,0
TKT-113981,2
TKT-113593,3
TKT-105421,2
TKT-110992,0
TKT-105527,0
TKT-105183,2
TKT-102605,0
TKT-108083,0
TKT-116409,0
TKT-107191,0
TKT-107537,0
TKT-104520,0
TKT-107899,2
TKT-109966,2
TKT-108137,0
TKT-119922,0
TKT-117056,1
TKT-112240,0
TKT-104816,0
TKT-108481,0
TKT-115380,0
TKT-103059,0
TKT-114959,0
TKT-102448,1
TKT-115922,0
TKT-115264,0
TKT-100003,2
TKT-116275,0
TKT-112348,0
TKT-111066,0
TKT-113905,2
TKT-115306,0
TKT-108642,2
TKT-108723,1
TKT-100344,2
TKT-106188,2
TKT-117241,0
TKT-111882,3
TKT-118277,2
TKT-112933,2
TKT-103315,0
TKT-119387,0
TKT-105248,0
TKT-105381,2
TKT-113708,2
TKT-100042,2
TKT-113303,0
TKT-110259,2
TKT-100795,2
TKT-110026,0
TKT-114307,0
TKT-102549,3
TKT-114624,2
TKT-113610,2
TKT-107530,3
TKT-117460,3
TKT-103100,0
TKT-116816,2
TKT-111248,1
TKT-113823,0
TKT-100046,0
TKT-119828,0
TKT-119381,0
TKT-104307,0
TKT-116168,0
TKT-104229,0
TKT-104914,3
TKT-117627,0
TKT-115910,1
TKT-109889,0
TKT-115132,0
TKT-117812,2
TKT-108969,0
TKT-110462,1
TKT-116785,0
TKT-105893,0
TKT-105456,3
TKT-108300,0
TKT-112397,0
TKT-102189,3
TKT-107917,0
TKT-114143,0
TKT-102602,0
TKT-116670,2
TKT-109948,0
TKT-110275,0
TKT-113770,1
TKT-114892,0
TKT-111693,0
TKT-109123,0
TKT-104983,0
TKT-110180,0
TKT-115363,0
TKT-112614,3
TKT-107228,0
TKT-107883,2
TKT-113484,0
TKT-119050,2
TKT-119034,0
TKT-117913,2
TKT-102503,0
TKT-119391,1
TKT-104630,0
TKT-101510,0
TKT-106285,0
TKT-115442,0
TKT-118530,2
TKT-114835,0
TKT-113301,2
TKT-112754,0
TKT-118743,0
TKT-119894,0
TKT-101901,2
TKT-100708,0
TKT-116124,1
TKT-105236,2
TKT-102495,0
TKT-100688,0
TKT-104450,0
TKT-103184,0
TKT-111487,0
TKT-113649,0
TKT-110585,0
TKT-102571,2
TKT-112659,0
TKT-107731,0
TKT-108509,2
TKT-110529,0
TKT-107149,2
TKT-117234,0
TKT-108180,0
TKT-119133,0
TKT-111773,0
TKT-104336,2
TKT-101430,0
TKT-111615,0
TKT-116171,0
TKT-105537,0
TKT-116826,0
TKT-107231,2
TKT-119235,0
TKT-102270,0
TKT-105900,0
TKT-103507,0
TKT-116885,2
TKT-118145,0
TKT-114159,0
TKT-114093,2
TKT-113583,0
TKT-103171,0
TKT-103886,0
TKT-110328,0
TKT-118296,0
TKT-104755,0
TKT-118355,0
TKT-112505,0
TKT-110244,0
TKT-109734,0
TKT-107365,0
TKT-112493,2
TKT-116555,0
TKT-105784,0
TKT-117293,2
TKT-113099,0
TKT-109380,0
TKT-112399,0
TKT-114886,0
TKT-112859,0
TKT-114796,0
TKT-105598,0
TKT-109052,0
TKT-115324,3
TKT-108952,0
TKT-105800,2
TKT-106084,2
TKT-118019,0
TKT-115342,2
TKT-119000,1
TKT-116532,0
TKT-107877,0
TKT-102277,2
TKT-106428,0
TKT-108246,0
TKT-117622,2
TKT-104371,3
TKT-106959,2
TKT-109565,2
TKT-107089,2
TKT-109901,0
TKT-106829,2
TKT-101162,0
TKT-102864,2
TKT-117034,0
TKT-109618,2
TKT-113160,0
TKT-107552,2
TKT-107747,2
TKT-113540,0
TKT-114812,0
TKT-110202,0
TKT-111060,2
TKT-115323,0
TKT-118451,0
TKT-106987,2
TKT-118874,0
TKT-101355,0
TKT-113908,1
TKT-108816,0
TKT-107167,0
TKT-118463,3
TKT-108310,2
TKT-108349,1
TKT-116611,0
TKT-112788,0
TKT-109002,0
TKT-103901,0
TKT-110765,0
TKT-105814,0
TKT-106220,0
TKT-100563,0
TKT-107298,0
TKT-116066,2
TKT-112591,2
TKT-112389,0
TKT-113582,0
TKT-102559,0
TKT-107199,0
TKT-111596,3
TKT-100826,0
TKT-105945,1
TKT-108823,0
TKT-116008,0
TKT-111541,2
TKT-114811,3
TKT-100290,0
TKT-104768,0
TKT-106672,0
TKT-105654,2
TKT-103926,0
TKT-111626,0
TKT-107222,0
TKT-116089,1
TKT-102898,1
TKT-113616,2
TKT-107583,0
TKT-114457,2
TKT-100640,0
TKT-112831,3
TKT-116722,0
TKT-119895,0
TKT-112745,3
TKT-100482,0
TKT-106091,0
TKT-107290,0
TKT-112952,1
TKT-117594,0
TKT-110128,2
TKT-119470,0
TKT-119835,0
TKT-103978,0
TKT-106421,2
TKT-103375,0
TKT-113609,1
TKT-116924,3
TKT-104779,2
TKT-106932,0
TKT-117686,2
TKT-117025,2
TKT-102622,0
TKT-111928,0
TKT-118085,0
TKT-118730,0
TKT-104580,0
TKT-115095,2
TKT-112315,2
TKT-112471,0
TKT-109202,0
TKT-116204,2
TKT-106463,2
TKT-111710,0
TKT-101153,2
TKT-116496,0
TKT-109926,0
TKT-117965,0
TKT-116969,2
TKT-116828,2
TKT-111903,0
TKT-109201,2
TKT-117670,0
TKT-105635,0
TKT-104880,0
TKT-114658,0
TKT-104024,0
TKT-107200,0
TKT-108187,0
TKT-104510,0
TKT-104072,0
TKT-111024,0
TKT-118864,0
TKT-117224,0
TKT-119660,1
TKT-117063,0
TKT-100852,0
TKT-100467,0
TKT-106662,0
TKT-112325,0
TKT-116818,0
TKT-110497,0
TKT-116754,0
TKT-119971,3
TKT-111495,1
TKT-110732,0
TKT-100736,2
TKT-108136,0
TKT-111123,0
TKT-111793,0
TKT-112090,0
TKT-111507,2
TKT-100450,2
TKT-110946,3
TKT-107014,0
TKT-102457,3
TKT-106863,2
TKT-115424,1
TKT-117990,0
TKT-102392,0
TKT-115780,0
TKT-108722,0
TKT-112092,2
TKT-104836,0
TKT-101144,0
TKT-114553,2
TKT-119964,0
TKT-105412,2
TKT-111183,0
TKT-102133,0
TKT-102937,2
TKT-113624,0
TKT-113866,2
TKT-112233,0
TKT-100041,0
TKT-103282,0
TKT-112689,0
TKT-113306,0
TKT-111230,0
TKT-101866,0
TKT-114428,0
TKT-102450,1
TKT-103070,0
TKT-110505,1
TKT-113698,0
TKT-101123,2
TKT-102334,0
TKT-119014,0
TKT-113132,0
TKT-119001,0
TKT-115566,0
TKT-102408,0
TKT-117817,0
TKT-109458,2
TKT-114217,0
TKT-101347,0
TKT-105925,0
TKT-108355,2
TKT-105343,2
TKT-109048,2
TKT-103887,0
TKT-105332,0
TKT-119475,0
TKT-117694,1
TKT-119332,3
TKT-100035,0
TKT-107479,0
TKT-118390,0
